year,type,details,country,location
324,Disaster,Famine,Rome,Grecia
324,Omen,Geese Flying Backwards,Persia,Central Persia
324,Omen,Geese Flying Backwards,Persia,North Persia
325,Omen,Geese Flying Backwards,Rome,Italia
325,Omen,Geese Flying Backwards,Persia,Central Persia
325,Omen,Geese Flying Backwards,Persia,North Persia
326,Omen,Geese Flying Backwards,Persia,Central Persia
326,Omen,Geese Flying Backwards,Britannia,Britannia
327,Omen,Geese Flying Backwards,Rome,Italia
327,Disaster,Famine,Persia,Central Persia
327,Omen,Three-Headed Baby,Britannia,Britannia
328,Omen,Rivers of Blood,Rome,Gallia
329,Omen,Flaming Comet,Rome,Italia
329,Disaster,Pillaged By Britannia,Rome,Gallia
329,Disaster,Fire,Persia,North Persia
329,Omen,Moon Turns Red,Germania,North Germania
329,Disaster,Pillaged By Persia,Germania,North Germania
330,Omen,Geese Flying Backwards,Rome,Gallia
330,Disaster,Famine,Britannia,Britannia
330,Disaster,Plague,Germania,North Germania
331,Disaster,Fire,Persia,Outer Persia
332,Omen,Moon Turns Red,Rome,Gallia
332,Omen,Rivers of Blood,Persia,Central Persia
332,Omen,Geese Flying Backwards,Persia,Central Persia
332,Omen,Rivers of Blood,Persia,Outer Persia
332,Omen,Geese Flying Backwards,Britannia,Britannia
333,Disaster,Plague,Rome,Gallia
333,Omen,Three-Headed Baby,Persia,Central Persia
333,Disaster,Famine,Britannia,Britannia
334,Disaster,Plague,Rome,Italia
334,Disaster,Pillaged By Persia,Rome,Grecia
334,Omen,Geese Flying Backwards,Persia,Central Persia
334,Disaster,Plague,Britannia,Britannia
334,Omen,Geese Flying Backwards,Germania,North Germania
334,Omen,Moon Turns Red,Germania,South Germania
335,Omen,Rivers of Blood,Rome,Grecia
335,Disaster,Plague,Rome,Grecia
335,Omen,Geese Flying Backwards,Persia,North Persia
335,Omen,Three-Headed Baby,Germania,South Germania
335,Disaster,Plague,Germania,South Germania
336,Disaster,Pillaged By Britannia,Rome,Gallia
336,Disaster,Famine,Persia,North Persia
336,Disaster,Famine,Britannia,Britannia
337,Omen,Moon Turns Red,Persia,North Persia
337,Disaster,Fire,Britannia,Britannia
337,Omen,Geese Flying Backwards,Germania,North Germania
338,Omen,Moon Turns Red,Persia,Central Persia
338,Disaster,Fire,Persia,Outer Persia
338,Omen,Rivers of Blood,Germania,South Germania
339,Disaster,Pillaged By Persia,Rome,Grecia
339,Omen,Geese Flying Backwards,Persia,North Persia
339,Disaster,Pillaged By Germania,Britannia,Britannia
339,Disaster,Pillaged By Persia,Germania,North Germania
340,Omen,Three-Headed Baby,Persia,Central Persia
340,Omen,Sun Goes Dark,Persia,Central Persia
340,Disaster,Fire,Persia,Central Persia
340,Omen,Rivers of Blood,Germania,South Germania
341,Omen,Rivers of Blood,Rome,Grecia
342,Omen,Rivers of Blood,Rome,Italia
343,Disaster,Fire,Germania,North Germania
345,Omen,Rivers of Blood,Rome,Italia
346,Omen,Geese Flying Backwards,Rome,Italia
346,Omen,Three-Headed Baby,Persia,Central Persia
346,Disaster,Pillaged By Persia,Germania,North Germania
347,Omen,Geese Flying Backwards,Rome,Italia
348,Disaster,Famine,Rome,Italia
348,Omen,Three-Headed Baby,Rome,Grecia
348,Omen,Rivers of Blood,Rome,Grecia
348,Omen,Rivers of Blood,Persia,Outer Persia
348,Omen,Moon Turns Red,Britannia,Britannia
349,Omen,Rivers of Blood,Rome,Italia
349,Disaster,Fire,Rome,Grecia
349,Disaster,Famine,Persia,Outer Persia
349,Omen,Geese Flying Backwards,Persia,North Persia
349,Omen,Moon Turns Red,Persia,North Persia
349,Disaster,Plague,Britannia,Britannia
349,Omen,Geese Flying Backwards,Germania,North Germania
350,Omen,Rivers of Blood,Rome,Italia
350,Disaster,Plague,Rome,Gallia
350,Disaster,Fire,Persia,Central Persia
350,Omen,Geese Flying Backwards,Persia,Outer Persia
350,Disaster,Plague,Germania,North Germania
351,Omen,Rivers of Blood,Rome,Grecia
351,Disaster,Famine,Persia,Outer Persia
351,Omen,Geese Flying Backwards,Persia,North Persia
351,Disaster,Pillaged By Britannia,Germania,North Germania
351,Disaster,Plague,Germania,South Germania
352,Disaster,Plague,Rome,Italia
352,Disaster,Famine,Persia,North Persia
352,Disaster,Fire,Britannia,Britannia
353,Disaster,Fire,Rome,Italia
353,Omen,Moon Turns Red,Rome,Gallia
353,Omen,Moon Turns Red,Persia,Central Persia
354,Omen,Rivers of Blood,Rome,Gallia
354,Omen,Three-Headed Baby,Rome,Grecia
354,Omen,Geese Flying Backwards,Persia,Outer Persia
354,Omen,Moon Turns Red,Persia,North Persia
355,Omen,Geese Flying Backwards,Persia,Outer Persia
355,Disaster,Pillaged By Rome,Persia,Outer Persia
355,Omen,Geese Flying Backwards,Persia,North Persia
357,Omen,Three-Headed Baby,Rome,Grecia
357,Disaster,Famine,Persia,Outer Persia
357,Disaster,Famine,Persia,North Persia
357,Omen,Moon Turns Red,Britannia,Britannia
357,Disaster,Pillaged By Rome,Germania,South Germania
358,Omen,Three-Headed Baby,Germania,South Germania
359,Omen,Rivers of Blood,Persia,North Persia
360,Omen,Rivers of Blood,Rome,Gallia
360,Omen,Geese Flying Backwards,Rome,Gallia
360,Omen,Moon Turns Red,Rome,Grecia
360,Omen,Moon Turns Red,Persia,Central Persia
360,Omen,Three-Headed Baby,Germania,North Germania
361,Omen,Three-Headed Baby,Rome,Italia
361,Omen,Rivers of Blood,Rome,Gallia
361,Omen,Geese Flying Backwards,Rome,Gallia
361,Omen,Moon Turns Red,Persia,Central Persia
361,Disaster,Pillaged By Rome,Britannia,Britannia
362,Omen,Moon Turns Red,Rome,Gallia
363,Disaster,Fire,Rome,Grecia
363,Omen,Rivers of Blood,Britannia,Britannia
363,Omen,Rivers of Blood,Germania,North Germania
364,Omen,Rivers of Blood,Persia,Central Persia
364,Omen,Geese Flying Backwards,Persia,Central Persia
364,Omen,Three-Headed Baby,Persia,Outer Persia
364,Disaster,Pillaged By Britannia,Germania,North Germania
365,Disaster,Famine,Rome,Gallia
365,Omen,Three-Headed Baby,Persia,Outer Persia
365,Disaster,Fire,Persia,North Persia
366,Omen,Rivers of Blood,Rome,Italia
366,Disaster,Famine,Rome,Italia
366,Omen,Three-Headed Baby,Persia,Central Persia
366,Omen,Geese Flying Backwards,Persia,Central Persia
366,Disaster,Fire,Britannia,Britannia
366,Omen,Geese Flying Backwards,Germania,South Germania
367,Omen,Rivers of Blood,Britannia,Britannia
368,Omen,Rivers of Blood,Rome,Italia
368,Omen,Geese Flying Backwards,Rome,Italia
368,Disaster,Fire,Persia,Outer Persia
369,Disaster,Famine,Rome,Italia
369,Omen,Three-Headed Baby,Persia,Central Persia
369,Omen,Geese Flying Backwards,Persia,Central Persia
369,Omen,Geese Flying Backwards,Persia,Outer Persia
369,Disaster,Pillaged By Germania,Persia,North Persia
370,Omen,Rivers of Blood,Rome,Italia
370,Omen,Geese Flying Backwards,Persia,Central Persia
370,Omen,Three-Headed Baby,Persia,Outer Persia
370,Omen,Geese Flying Backwards,Persia,Outer Persia
370,Omen,Three-Headed Baby,Persia,North Persia
370,Omen,Moon Turns Red,Persia,North Persia
370,Omen,Moon Turns Red,Britannia,Britannia
370,Omen,Rivers of Blood,Germania,North Germania
371,Disaster,Famine,Persia,Central Persia
371,Disaster,Famine,Persia,Outer Persia
371,Disaster,Plague,Persia,North Persia
372,Disaster,Fire,Germania,North Germania
372,Omen,Three-Headed Baby,Germania,South Germania
372,Disaster,Fire,Germania,South Germania
373,Omen,Geese Flying Backwards,Persia,Central Persia
373,Omen,Moon Turns Red,Britannia,Britannia
374,Disaster,Fire,Rome,Gallia
374,Omen,Geese Flying Backwards,Persia,Central Persia
374,Disaster,Fire,Persia,Outer Persia
374,Omen,Rivers of Blood,Persia,North Persia
374,Omen,Geese Flying Backwards,Germania,South Germania
374,Disaster,Pillaged By Rome,Germania,South Germania
375,Omen,Geese Flying Backwards,Germania,South Germania
376,Omen,Moon Turns Red,Rome,Gallia
376,Omen,Geese Flying Backwards,Persia,Central Persia
376,Disaster,Fire,Britannia,Britannia
376,Omen,Geese Flying Backwards,Germania,South Germania
376,Omen,Moon Turns Red,Germania,South Germania
377,Omen,Rivers of Blood,Persia,Central Persia
377,Omen,Moon Turns Red,Persia,North Persia
377,Disaster,Pillaged By Rome,Britannia,Britannia
378,Omen,Moon Turns Red,Persia,Central Persia
378,Disaster,Plague,Persia,North Persia
378,Disaster,Famine,Germania,South Germania
379,Disaster,Fire,Rome,Italia
379,Omen,Three-Headed Baby,Rome,Grecia
379,Omen,Moon Turns Red,Persia,Central Persia
379,Omen,Rivers of Blood,Persia,Outer Persia
379,Omen,Geese Flying Backwards,Persia,Outer Persia
380,Disaster,Plague,Persia,Central Persia
380,Omen,Sun Goes Dark,Britannia,Britannia
381,Omen,Geese Flying Backwards,Germania,South Germania
382,Omen,Rivers of Blood,Britannia,Britannia
383,Omen,Three-Headed Baby,Persia,Central Persia
383,Disaster,Pillaged By Rome,Britannia,Britannia
383,Omen,Geese Flying Backwards,Germania,South Germania
384,Disaster,Pillaged By Rome,Britannia,Britannia
384,Disaster,Famine,Germania,South Germania
385,Omen,Moon Turns Red,Rome,Italia
385,Omen,Black Dove,Rome,Grecia
385,Omen,Black Dove,Persia,Central Persia
385,Omen,Black Dove,Persia,Outer Persia
385,Omen,Rivers of Blood,Persia,North Persia
385,Omen,Geese Flying Backwards,Persia,North Persia
385,Omen,Black Dove,Persia,North Persia
385,Disaster,Fire,Britannia,Britannia
385,Omen,Black Dove,Germania,North Germania
385,Omen,Black Dove,Germania,South Germania
386,Omen,Rivers of Blood,Persia,Central Persia
386,Disaster,Fire,Persia,Outer Persia
386,Omen,Geese Flying Backwards,Persia,North Persia
386,Disaster,Fire,Persia,North Persia
386,Omen,Moon Turns Red,Britannia,Britannia
386,Disaster,Pillaged By Persia,Germania,North Germania
386,Omen,Moon Turns Red,Germania,South Germania
387,Omen,Rivers of Blood,Rome,Gallia
387,Disaster,Fire,Rome,Gallia
387,Omen,Moon Turns Red,Persia,North Persia
387,Omen,Rivers of Blood,Britannia,Britannia
387,Disaster,Pillaged By Germania,Britannia,Britannia
387,Disaster,Famine,Germania,South Germania
388,Omen,Geese Flying Backwards,Persia,North Persia
388,Omen,Three-Headed Baby,Germania,North Germania
388,Omen,Geese Flying Backwards,Germania,South Germania
388,Omen,Moon Turns Red,Germania,South Germania
389,Omen,Moon Turns Red,Britannia,Britannia
389,Omen,Geese Flying Backwards,Germania,North Germania
390,Omen,Geese Flying Backwards,Persia,Central Persia
390,Disaster,Plague,Britannia,Britannia
390,Omen,Geese Flying Backwards,Germania,North Germania
391,Disaster,Famine,Persia,Outer Persia
391,Omen,Geese Flying Backwards,Germania,North Germania
391,Disaster,Plague,Germania,North Germania
392,Omen,Sun Goes Dark,Rome,Italia
392,Omen,Geese Flying Backwards,Persia,Central Persia
392,Omen,Moon Turns Red,Persia,Central Persia
392,Omen,Rivers of Blood,Persia,North Persia
392,Disaster,Famine,Germania,North Germania
393,Omen,Three-Headed Baby,Rome,Italia
393,Omen,Moon Turns Red,Persia,Central Persia
393,Disaster,Fire,Persia,Central Persia
393,Disaster,Pillaged By Rome,Britannia,Britannia
393,Omen,Rivers of Blood,Germania,North Germania
394,Omen,Geese Flying Backwards,Persia,Central Persia
394,Omen,Geese Flying Backwards,Persia,Outer Persia
394,Disaster,Fire,Persia,North Persia
394,Omen,Moon Turns Red,Germania,North Germania
397,Omen,Three-Headed Baby,Rome,Italia
397,Omen,Rivers of Blood,Rome,Gallia
397,Omen,Three-Headed Baby,Persia,Outer Persia
398,Omen,Three-Headed Baby,Rome,Italia
398,Omen,Moon Turns Red,Rome,Gallia
398,Omen,Three-Headed Baby,Persia,Central Persia
398,Omen,Rivers of Blood,Germania,North Germania
399,Disaster,Plague,Rome,Gallia
399,Disaster,Famine,Persia,Outer Persia
399,Omen,Rivers of Blood,Britannia,Britannia
399,Disaster,Pillaged By Germania,Britannia,Britannia
400,Omen,Three-Headed Baby,Rome,Grecia
400,Disaster,Plague,Britannia,Britannia
400,Omen,Moon Turns Red,Germania,South Germania
401,Disaster,Fire,Rome,Italia
401,Disaster,Plague,Germania,North Germania
402,Omen,Three-Headed Baby,Rome,Grecia
402,Omen,Geese Flying Backwards,Persia,Outer Persia
403,Disaster,Fire,Rome,Grecia
403,Omen,Moon Turns Red,Persia,Central Persia
404,Omen,Rivers of Blood,Rome,Grecia
404,Omen,Geese Flying Backwards,Persia,Central Persia
404,Disaster,Plague,Persia,Central Persia
404,Disaster,Pillaged By Persia,Germania,North Germania
405,Omen,Rivers of Blood,Rome,Italia
405,Omen,Flaming Comet,Persia,Central Persia
405,Omen,Three-Headed Baby,Persia,North Persia
405,Disaster,Plague,Persia,North Persia
406,Omen,Moon Turns Red,Rome,Grecia
407,Omen,Black Dove,Rome,Italia
407,Omen,Black Dove,Rome,Gallia
407,Disaster,Famine,Rome,Grecia
407,Omen,Black Dove,Persia,North Persia
407,Omen,Geese Flying Backwards,Britannia,Britannia
407,Omen,Black Dove,Britannia,Britannia
407,Disaster,Pillaged By Rome,Britannia,Britannia
407,Omen,Black Dove,Germania,North Germania
407,Disaster,Fire,Germania,South Germania
408,Omen,Three-Headed Baby,Rome,Gallia
408,Omen,Geese Flying Backwards,Rome,Grecia
408,Disaster,Famine,Britannia,Britannia
409,Omen,Rivers of Blood,Rome,Italia
409,Omen,Rivers of Blood,Britannia,Britannia
409,Omen,Flaming Comet,Britannia,Britannia
409,Disaster,Pillaged By Germania,Britannia,Britannia
410,Omen,Rivers of Blood,Rome,Italia
410,Disaster,Famine,Rome,Grecia
410,Disaster,Fire,Persia,Central Persia
410,Omen,Three-Headed Baby,Germania,North Germania
410,Disaster,Pillaged By Persia,Germania,North Germania
410,Omen,Rivers of Blood,Germania,South Germania
411,Omen,Rivers of Blood,Germania,South Germania
412,Omen,Rivers of Blood,Rome,Italia
412,Omen,Black Dove,Rome,Gallia
412,Omen,Geese Flying Backwards,Rome,Grecia
412,Omen,Black Dove,Rome,Grecia
412,Omen,Black Dove,Persia,Outer Persia
413,Disaster,Fire,Rome,Italia
413,Omen,Three-Headed Baby,Rome,Gallia
413,Omen,Rivers of Blood,Rome,Gallia
413,Omen,Geese Flying Backwards,Rome,Grecia
413,Disaster,Fire,Rome,Grecia
413,Omen,Three-Headed Baby,Persia,Outer Persia
413,Omen,Three-Headed Baby,Germania,North Germania
414,Omen,Rivers of Blood,Rome,Italia
414,Omen,Geese Flying Backwards,Persia,Outer Persia
414,Omen,Moon Turns Red,Britannia,Britannia
415,Disaster,Pillaged By Britannia,Rome,Gallia
415,Omen,Geese Flying Backwards,Persia,Outer Persia
416,Omen,Three-Headed Baby,Britannia,Britannia
417,Omen,Moon Turns Red,Persia,Central Persia
417,Disaster,Fire,Persia,Central Persia
417,Omen,Geese Flying Backwards,Persia,Outer Persia
418,Omen,Three-Headed Baby,Rome,Italia
418,Disaster,Fire,Rome,Grecia
418,Disaster,Plague,Persia,Central Persia
418,Disaster,Famine,Persia,Outer Persia
418,Omen,Three-Headed Baby,Persia,North Persia
418,Disaster,Fire,Persia,North Persia
419,Omen,Moon Turns Red,Persia,Central Persia
419,Disaster,Plague,Persia,Outer Persia
419,Disaster,Plague,Persia,North Persia
419,Omen,Flaming Comet,Germania,South Germania
420,Disaster,Fire,Rome,Gallia
421,Omen,Moon Turns Red,Persia,North Persia
421,Disaster,Fire,Germania,South Germania
422,Omen,Moon Turns Red,Rome,Gallia
422,Omen,Sun Goes Dark,Britannia,Britannia
423,Omen,Moon Turns Red,Rome,Gallia
423,Disaster,Plague,Rome,Gallia
424,Omen,Moon Turns Red,Rome,Italia
424,Disaster,Plague,Rome,Italia
424,Disaster,Plague,Britannia,Britannia
424,Disaster,Plague,Germania,South Germania
425,Omen,Rivers of Blood,Rome,Italia
426,Omen,Geese Flying Backwards,Rome,Grecia
426,Disaster,Pillaged By Persia,Rome,Grecia
426,Omen,Rivers of Blood,Persia,North Persia
426,Disaster,Pillaged By Persia,Germania,North Germania
426,Omen,Moon Turns Red,Germania,South Germania
427,Disaster,Famine,Rome,Grecia
427,Omen,Moon Turns Red,Persia,Central Persia
427,Omen,Moon Turns Red,Persia,Outer Persia
428,Disaster,Pillaged By Germania,Rome,Gallia
428,Omen,Geese Flying Backwards,Rome,Grecia
428,Disaster,Fire,Persia,Central Persia
428,Disaster,Fire,Persia,Outer Persia
428,Disaster,Plague,Persia,Outer Persia
428,Disaster,Fire,Germania,North Germania
429,Disaster,Earthquake,Rome,Grecia
429,Omen,Rivers of Blood,Persia,Central Persia
429,Disaster,Earthquake,Persia,Central Persia
430,Omen,Three-Headed Baby,Rome,Grecia
430,Omen,Rivers of Blood,Britannia,Britannia
431,Omen,Geese Flying Backwards,Rome,Grecia
432,Omen,Rivers of Blood,Rome,Grecia
433,Omen,Geese Flying Backwards,Rome,Grecia
433,Disaster,Fire,Persia,Central Persia
433,Disaster,Pillaged By Rome,Persia,Outer Persia
433,Disaster,Fire,Persia,North Persia
434,Disaster,Pillaged By Germania,Rome,Italia
434,Disaster,Fire,Britannia,Britannia
435,Disaster,Fire,Rome,Italia
435,Omen,Moon Turns Red,Persia,Central Persia
436,Omen,Rivers of Blood,Rome,Italia
436,Omen,Rivers of Blood,Rome,Gallia
436,Omen,Geese Flying Backwards,Rome,Grecia
436,Disaster,Plague,Persia,Central Persia
436,Disaster,Pillaged By Germania,Britannia,Britannia
437,Omen,Rivers of Blood,Persia,Outer Persia
437,Disaster,Fire,Persia,Outer Persia
437,Disaster,Plague,Persia,Outer Persia
437,Disaster,Plague,Persia,North Persia
437,Disaster,Pillaged By Germania,Persia,North Persia
437,Disaster,Pillaged By Rome,Britannia,Britannia
437,Omen,Geese Flying Backwards,Germania,North Germania
438,Omen,Geese Flying Backwards,Rome,Gallia
438,Disaster,Earthquake,Rome,Grecia
438,Omen,Rivers of Blood,Persia,Outer Persia
438,Omen,Rivers of Blood,Britannia,Britannia
438,Disaster,Famine,Germania,North Germania
438,Disaster,Plague,Germania,North Germania
439,Omen,Geese Flying Backwards,Rome,Gallia
439,Omen,Geese Flying Backwards,Persia,North Persia
439,Disaster,Plague,Britannia,Britannia
439,Disaster,Plague,Germania,South Germania
440,Omen,Rivers of Blood,Rome,Italia
440,Disaster,Famine,Germania,South Germania
441,Omen,Three-Headed Baby,Rome,Italia
441,Omen,Geese Flying Backwards,Rome,Grecia
442,Omen,Geese Flying Backwards,Rome,Grecia
443,Omen,Three-Headed Baby,Rome,Italia
443,Omen,Rivers of Blood,Rome,Gallia
443,Omen,Three-Headed Baby,Rome,Grecia
443,Disaster,Famine,Rome,Grecia
444,Omen,Rivers of Blood,Rome,Gallia
444,Disaster,Pillaged By Rome,Britannia,Britannia
444,Omen,Rivers of Blood,Germania,North Germania
445,Disaster,Fire,Rome,Gallia
445,Disaster,Pillaged By Germania,Rome,Gallia
445,Omen,Geese Flying Backwards,Persia,North Persia
445,Disaster,Pillaged By Germania,Britannia,Britannia
445,Omen,Moon Turns Red,Germania,South Germania
445,Disaster,Fire,Germania,South Germania
446,Disaster,Earthquake,Rome,Italia
446,Omen,Moon Turns Red,Rome,Grecia
446,Omen,Three-Headed Baby,Persia,Outer Persia
446,Omen,Rivers of Blood,Britannia,Britannia
446,Omen,Rivers of Blood,Germania,North Germania
446,Disaster,Earthquake,Germania,South Germania
447,Disaster,Pillaged By Britannia,Rome,Gallia
447,Omen,Rivers of Blood,Rome,Grecia
447,Omen,Moon Turns Red,Persia,North Persia
447,Disaster,Famine,Persia,North Persia
448,Disaster,Pillaged By Britannia,Rome,Gallia
448,Omen,Rivers of Blood,Persia,Central Persia
448,Disaster,Plague,Persia,North Persia
449,Omen,Geese Flying Backwards,Rome,Gallia
449,Omen,Moon Turns Red,Rome,Gallia
449,Omen,Moon Turns Red,Persia,Outer Persia
450,Omen,Flaming Comet,Rome,Gallia
450,Disaster,Famine,Rome,Gallia
450,Disaster,Plague,Persia,Outer Persia
450,Omen,Moon Turns Red,Germania,South Germania
451,Omen,Geese Flying Backwards,Rome,Gallia
451,Disaster,Plague,Persia,Central Persia
454,Disaster,Famine,Rome,Gallia
454,Disaster,Fire,Rome,Grecia
455,Omen,Black Dove,Rome,Italia
455,Omen,Black Dove,Rome,Grecia
455,Omen,Black Dove,Persia,Central Persia
455,Disaster,Fire,Britannia,Britannia
455,Omen,Black Dove,Germania,North Germania
456,Omen,Three-Headed Baby,Rome,Italia
456,Disaster,Fire,Germania,North Germania
457,Omen,Moon Turns Red,Rome,Grecia
457,Omen,Rivers of Blood,Britannia,Britannia
457,Disaster,Pillaged By Germania,Britannia,Britannia
457,Omen,Three-Headed Baby,Germania,North Germania
458,Omen,Three-Headed Baby,Persia,Outer Persia
458,Omen,Moon Turns Red,Germania,North Germania
459,Omen,Rivers of Blood,Rome,Italia
459,Omen,Moon Turns Red,Rome,Italia
459,Omen,Sun Goes Dark,Rome,Italia
459,Disaster,Fire,Persia,Central Persia
459,Omen,Moon Turns Red,Britannia,Britannia
460,Disaster,Famine,Rome,Gallia
460,Disaster,Pillaged By Persia,Germania,North Germania
461,Omen,Flaming Comet,Rome,Italia
461,Omen,Moon Turns Red,Rome,Grecia
461,Disaster,Famine,Persia,North Persia
461,Omen,Three-Headed Baby,Germania,South Germania
461,Omen,Rivers of Blood,Germania,South Germania
462,Disaster,Famine,Rome,Gallia
462,Disaster,Plague,Rome,Grecia
462,Omen,Geese Flying Backwards,Germania,South Germania
463,Disaster,Plague,Rome,Italia
463,Omen,Rivers of Blood,Rome,Gallia
463,Omen,Moon Turns Red,Persia,Central Persia
463,Disaster,Plague,Persia,Outer Persia
463,Disaster,Pillaged By Germania,Persia,North Persia
463,Omen,Flaming Comet,Britannia,Britannia
464,Omen,Moon Turns Red,Rome,Gallia
464,Disaster,Plague,Rome,Gallia
464,Disaster,Plague,Germania,South Germania
465,Omen,Rivers of Blood,Persia,North Persia
465,Disaster,Plague,Britannia,Britannia
465,Omen,Sun Goes Dark,Germania,North Germania
465,Disaster,Plague,Germania,North Germania
466,Omen,Three-Headed Baby,Persia,Central Persia
466,Omen,Moon Turns Red,Persia,Central Persia
466,Omen,Moon Turns Red,Persia,North Persia
466,Omen,Rivers of Blood,Britannia,Britannia
467,Omen,Three-Headed Baby,Rome,Gallia
467,Disaster,Pillaged By Britannia,Rome,Gallia
467,Omen,Sun Goes Dark,Persia,Central Persia
467,Omen,Rivers of Blood,Persia,Outer Persia
469,Disaster,Pillaged By Persia,Germania,North Germania
472,Omen,Three-Headed Baby,Persia,Central Persia
472,Disaster,Famine,Germania,South Germania
473,Disaster,Fire,Persia,Central Persia
473,Omen,Flaming Comet,Germania,North Germania
473,Disaster,Fire,Germania,North Germania
474,Omen,Three-Headed Baby,Rome,Gallia
475,Omen,Rivers of Blood,Rome,Italia
475,Omen,Three-Headed Baby,Rome,Gallia
475,Omen,Moon Turns Red,Persia,North Persia
476,Disaster,Plague,Persia,North Persia
477,Omen,Moon Turns Red,Rome,Gallia
477,Disaster,Plague,Persia,Central Persia
477,Omen,Moon Turns Red,Germania,South Germania
477,Disaster,Pillaged By Rome,Germania,South Germania
478,Omen,Moon Turns Red,Rome,Italia
478,Omen,Three-Headed Baby,Persia,Outer Persia
479,Disaster,Pillaged By Rome,Persia,Outer Persia
479,Omen,Rivers of Blood,Persia,North Persia
479,Disaster,Pillaged By Rome,Britannia,Britannia
479,Omen,Rivers of Blood,Germania,North Germania
480,Omen,Moon Turns Red,Rome,Grecia
482,Omen,Three-Headed Baby,Rome,Grecia
482,Omen,Rivers of Blood,Britannia,Britannia
483,Omen,Sun Goes Dark,Germania,North Germania
483,Disaster,Fire,Germania,North Germania
484,Omen,Moon Turns Red,Rome,Italia
484,Omen,Three-Headed Baby,Rome,Gallia
484,Omen,Geese Flying Backwards,Germania,North Germania
485,Omen,Black Dove,Rome,Italia
485,Omen,Black Dove,Rome,Gallia
485,Omen,Black Dove,Britannia,Britannia
485,Omen,Geese Flying Backwards,Germania,South Germania
486,Disaster,Fire,Rome,Italia
486,Omen,Three-Headed Baby,Rome,Gallia
486,Omen,Rivers of Blood,Persia,North Persia
486,Omen,Moon Turns Red,Germania,North Germania
486,Disaster,Famine,Germania,North Germania
487,Omen,Rivers of Blood,Rome,Italia
487,Omen,Rivers of Blood,Persia,North Persia
487,Disaster,Pillaged By Persia,Germania,North Germania
489,Omen,Black Dove,Rome,Italia
489,Omen,Black Dove,Rome,Gallia
489,Disaster,Fire,Rome,Gallia
489,Omen,Rivers of Blood,Persia,Central Persia
489,Omen,Black Dove,Persia,Outer Persia
489,Omen,Black Dove,Germania,North Germania
489,Omen,Black Dove,Germania,South Germania
490,Omen,Geese Flying Backwards,Germania,South Germania
490,Disaster,Fire,Germania,South Germania
491,Disaster,Fire,Persia,Central Persia
491,Omen,Rivers of Blood,Persia,Outer Persia
491,Omen,Geese Flying Backwards,Germania,South Germania
491,Disaster,Pillaged By Rome,Germania,South Germania
492,Disaster,Fire,Britannia,Britannia
492,Disaster,Pillaged By Britannia,Germania,North Germania
492,Omen,Geese Flying Backwards,Germania,South Germania
493,Omen,Geese Flying Backwards,Britannia,Britannia
493,Omen,Rivers of Blood,Germania,North Germania
493,Omen,Geese Flying Backwards,Germania,South Germania
493,Disaster,Pillaged By Rome,Germania,South Germania
494,Omen,Three-Headed Baby,Rome,Grecia
494,Omen,Moon Turns Red,Persia,Outer Persia
494,Omen,Rivers of Blood,Britannia,Britannia
494,Omen,Three-Headed Baby,Germania,North Germania
494,Omen,Geese Flying Backwards,Germania,South Germania
495,Disaster,Fire,Rome,Grecia
495,Omen,Geese Flying Backwards,Britannia,Britannia
495,Omen,Three-Headed Baby,Germania,North Germania
496,Disaster,Fire,Persia,North Persia
496,Omen,Geese Flying Backwards,Britannia,Britannia
497,Disaster,Fire,Persia,Outer Persia
497,Omen,Geese Flying Backwards,Persia,North Persia
497,Disaster,Famine,Germania,South Germania
498,Disaster,Fire,Rome,Italia
498,Omen,Geese Flying Backwards,Persia,North Persia
499,Disaster,Fire,Rome,Gallia
499,Disaster,Pillaged By Rome,Persia,Outer Persia
499,Omen,Geese Flying Backwards,Persia,North Persia
500,Omen,Geese Flying Backwards,Persia,North Persia
500,Omen,Geese Flying Backwards,Germania,North Germania
500,Omen,Rivers of Blood,Germania,South Germania
501,Omen,Geese Flying Backwards,Germania,North Germania
501,Disaster,Pillaged By Britannia,Germania,North Germania
502,Omen,Geese Flying Backwards,Rome,Italia
502,Omen,Rivers of Blood,Rome,Grecia
502,Omen,Geese Flying Backwards,Persia,North Persia
502,Disaster,Fire,Britannia,Britannia
503,Disaster,Famine,Rome,Italia
503,Omen,Three-Headed Baby,Germania,North Germania
504,Disaster,Fire,Persia,Central Persia
504,Disaster,Fire,Germania,North Germania
505,Omen,Geese Flying Backwards,Persia,North Persia
505,Disaster,Famine,Britannia,Britannia
505,Omen,Geese Flying Backwards,Germania,North Germania
506,Omen,Geese Flying Backwards,Persia,North Persia
506,Disaster,Fire,Persia,North Persia
506,Disaster,Fire,Germania,North Germania
507,Omen,Rivers of Blood,Persia,Outer Persia
507,Disaster,Pillaged By Rome,Britannia,Britannia
508,Omen,Moon Turns Red,Germania,North Germania
508,Omen,Geese Flying Backwards,Germania,South Germania
508,Disaster,Pillaged By Rome,Germania,South Germania
510,Omen,Rivers of Blood,Persia,Central Persia
510,Omen,Geese Flying Backwards,Germania,South Germania
511,Omen,Three-Headed Baby,Rome,Gallia
511,Omen,Moon Turns Red,Persia,North Persia
511,Omen,Moon Turns Red,Germania,South Germania
512,Omen,Moon Turns Red,Germania,North Germania
512,Disaster,Famine,Germania,South Germania
513,Disaster,Fire,Rome,Grecia
